                                                                                        Step 
variable                                                                                   0     1     2 
Check_spec~1.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_1_hole_6             10    10    10 
Check_spec~1.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_2_hole_8              5     5     5 
Check_spec~1.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.out                      true  true  true 
Check_spec~1.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_0_0                 3     3     3 
Check_spec~1.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_1_1                 4     4     4 
Check_spec~1.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_2_2                 3     3     3 
Check_spec~1.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_3_3                37    37    37 
Check_spec~1.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_4_4                41    41    41 
Check_spec~1.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_5_5                 5     5     5 
Check_spec~1.T_node~0.level_1_1_hole_7                                                    19    19    19 
Check_spec~1.T_node~0.level_1_hole_6                                                      10    10    10 
Check_spec~1.T_node~0.level_2_hole_8                                                       5     5     5 
Check_spec~1.T_node~0.out                                                              false false false 
Check_spec~1.T_node~0.p1                                                                true  true  true 
Check_spec~1.T_node~0.threshold                                                            0    10    10 
Check_spec~1.T_node~0.valhole_0_0                                                          3     3     3 
Check_spec~1.T_node~0.valhole_1_1                                                          4     4     4 
Check_spec~1.T_node~0.valhole_2_2                                                          3     3     3 
Check_spec~1.T_node~0.valhole_3_3                                                         37    37    37 
Check_spec~1.T_node~0.valhole_4_4                                                         41    41    41 
Check_spec~1.T_node~0.valhole_5_5                                                          5     5     5 
Check_spec~1.a                                                                          true false false 
Check_spec~1.b                                                                         false false false 
Check_spec~1.c                                                                          true false false 
Check_spec~1.k                                                                             1     1     1 
Check_spec~1.level_1_1_hole_7                                                             19    19    19 
Check_spec~1.level_1_hole_6                                                               10    10    10 
Check_spec~1.level_2_hole_8                                                                5     5     5 
Check_spec~1.out                                                                       false false false 
Check_spec~1.p1                                                                        false  true  true 
Check_spec~1.step                                                                          0     1     2 
Check_spec~1.stepOK                                                                     true  true  true 
Check_spec~1.threshold                                                                     0    10    10 
Check_spec~1.valhole_0_0                                                                   3     3     3 
Check_spec~1.valhole_1_1                                                                   4     4     4 
Check_spec~1.valhole_2_2                                                                   3     3     3 
Check_spec~1.valhole_3_3                                                                  37    37    37 
Check_spec~1.valhole_4_4                                                                  41    41    41 
Check_spec~1.valhole_5_5                                                                   5     5     5 
Check_spec~2.H_discovery~0.in                                                           true  true  true 
Check_spec~2.H_discovery~0.out                                                          true  true  true 
Check_spec~2.T_node~0.a                                                                 true false false 
Check_spec~2.T_node~0.b                                                                false false false 
Check_spec~2.T_node~0.c                                                                false  true  true 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a0                       true false false 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a1                      false false false 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a2                      false  true  true 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a3                      false false false 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_0           true false false 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_1          false false false 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_2           true false false 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_3          false false false 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_4          false false false 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_5          false  true  true 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_1_0          false false false 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_1_1           true  true  true 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_2_0           true  true  true 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_1_1_hole_7           19    19    19 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_1_hole_6             10    10    10 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_2_hole_8              5     5     5 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.out                      true  true  true 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_0_0                 3     3     3 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_1_1                 4     4     4 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_2_2                 3     3     3 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_3_3                37    37    37 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_4_4                41    41    41 
Check_spec~2.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_5_5                 5     5     5 
Check_spec~2.T_node~0.level_1_1_hole_7                                                    19    19    19 
Check_spec~2.T_node~0.level_1_hole_6                                                      10    10    10 
Check_spec~2.T_node~0.level_2_hole_8                                                       5     5     5 
Check_spec~2.T_node~0.out                                                              false false false 
Check_spec~2.T_node~0.p1                                                                true  true  true 
Check_spec~2.T_node~0.threshold                                                            0     0     0 
Check_spec~2.T_node~0.valhole_0_0                                                          3     3     3 
Check_spec~2.T_node~0.valhole_1_1                                                          4     4     4 
Check_spec~2.T_node~0.valhole_2_2                                                          3     3     3 
Check_spec~2.T_node~0.valhole_3_3                                                         37    37    37 
Check_spec~2.T_node~0.valhole_4_4                                                         41    41    41 
Check_spec~2.T_node~0.valhole_5_5                                                          5     5     5 
Check_spec~2.a                                                                          true false false 
Check_spec~2.b                                                                         false false false 
Check_spec~2.c                                                                         false  true  true 
Check_spec~2.k                                                                             1     1     1 
Check_spec~2.level_1_1_hole_7                                                             19    19    19 
Check_spec~2.level_1_hole_6                                                               10    10    10 
Check_spec~2.level_2_hole_8                                                                5     5     5 
Check_spec~2.out                                                                       false false false 
Check_spec~2.p1                                                                        false  true  true 
Check_spec~2.step                                                                          0     1     2 
Check_spec~2.stepOK                                                                     true  true  true 
Check_spec~2.threshold                                                                     0     0     0 
Check_spec~2.valhole_0_0                                                                   3     3     3 
Check_spec~2.valhole_1_1                                                                   4     4     4 
Check_spec~2.valhole_2_2                                                                   3     3     3 
Check_spec~2.valhole_3_3                                                                  37    37    37 
Check_spec~2.valhole_4_4                                                                  41    41    41 
Check_spec~2.valhole_5_5                                                                   5     5     5 
Check_spec~3.H_discovery~0.in                                                           true  true  true 
Check_spec~3.H_discovery~0.out                                                          true  true  true 
Check_spec~3.T_node~0.a                                                                 true  true  true 
Check_spec~3.T_node~0.b                                                                false false false 
Check_spec~3.T_node~0.c                                                                 true false false 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a0                       true  true  true 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a1                      false false false 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a2                       true false false 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a3                      false false false 
